0.003343, 0.133704, 50
0.017767, 0.288482, 50
0.050227, 0.649212, 50
0.107957, 1.154588, 50
0.194602, 1.732912, 50
0.310224, 2.312439, 50
0.454900, 2.893508, 50
0.628719, 3.476387, 50
0.831781, 4.061237, 50
1.064184, 4.648054, 50
1.326014, 5.236599, 50
1.617329, 5.826316, 50
1.938141, 6.416235, 50
2.288385, 7.004888, 50
2.667899, 7.590273, 50
3.076393, 8.169884, 50
3.513437, 8.740866, 50
3.978452, 9.300312, 50
4.470735, 9.845647, 50
4.989487, 10.375047, 50
5.533873, 10.887726, 50
6.103074, 11.384017, 50
6.696333, 11.865185, 50
7.312986, 12.333045, 50
7.952460, 12.789487, 50
8.614262, 13.236047, 50
9.297941, 13.673566, 50
10.003039, 14.101976, 50
10.729048, 14.520170, 50
11.475345, 14.925934, 50
12.241142, 15.315958, 50
13.026242, 15.701990, 50
13.837384, 16.222842, 50
14.670630, 16.664917, 50
15.522066, 17.028714, 50
16.384595, 17.250593, 50
17.251216, 17.332412, 50
18.112073, 17.217136, 50
18.957930, 16.917136, 50
19.783263, 16.506670, 50
20.583101, 15.996757, 50
21.355858, 15.455148, 50
22.102967, 14.942173, 50
22.825647, 14.453595, 50
23.524792, 13.982915, 50
24.248730, 14.478758, 50
24.968215, 14.389689, 50
25.641721, 13.470124, 50
26.272285, 12.611282, 50
26.860454, 11.763379, 50
27.404936, 10.889631, 50
27.903019, 9.961677, 50
28.351457, 8.968759, 50
28.748865, 7.948149, 50
29.100021, 7.023119, 50
29.418288, 6.365353, 50
29.719964, 6.033519, 50
30.014991, 5.900527, 50
30.304838, 5.796944, 50
30.586440, 5.632043, 50
30.855775, 5.386703, 50
31.109359, 5.071667, 50
31.344536, 4.703555, 50
31.559376, 4.296801, 50
31.752489, 3.862255, 50
31.922874, 3.407699, 50
32.069807, 2.938668, 50
32.192764, 2.459135, 50
32.291365, 1.972006, 50
32.365338, 1.479469, 50
32.414593, 0.985098, 50
32.442232, 0.552774, 50
32.454450, 0.244368, 50
32.457482, 0.060638, 50
32.457482, 0.000000, 50
